"index_id","description","remark"
2180001,"Oracle数据库日志分析结果","Oracle数据库日志分析结果"
2180017,"latch miss","latch miss"
2180018,"latch gets","latch gets"
2180019,"gc cr blocks received","gc cr blocks received"
2180020,"gc current blocks received","gc current blocks received"
2180021,"SUM3 gc cr blocks served gc current blocks served","SUM3(gc cr blocks served,gc current blocks served)"
2180022,"SUM4 gcs messages sent ges messages sent","SUM4(gcs messages sent,ges messages sent"
2180023,"global enqueue get time","global enqueue get time"
2180024,"SUM6 global enqueue gets async global enqueue gets sync","SUM6(global enqueue gets async,global enqueue gets sync"
2180025,"gc cr block receive time","gc cr block receive time"
2180026,"gc cr block flush time","gc cr block flush time"
2180027,"gc current block flush time","gc current block flush time"
2180028,"msgs sent queue time ","msgs sent queue time (ms)"
2180029,"msgs sent queued","msgs sent queued"
2180030,"gcs msgs process time","gcs msgs process time（ms）"
2180031,"gcs msgs received","gcs msgs received"
2180032,"ges msgs process time","ges msgs process time（ms）"
2180033,"ges msgs received","ges msgs received"
2180034,"Estd Interconnect traffic","Estd Interconnect traffic 原始值"
2180035,"sum1 flushes   cr block server","sum1(flushes) | v$cr_block_server"
2180036,"sum2 flushes current block server","sum2(flushes) | v$current_block_server"
2180037,"current scn","current scn"
2180038,"calls to kcmgas","calls to kcmgas"
2180039,"redo字节数","redo字节数"
2180040,"日志最大序列号","日志最大序列号"
2180041,"等待事件总等待时间","等待事件总等待时间"
2180042,"等待事件总等待次数","等待事件总等待次数"
2180043,"等待事件响应时间","等待事件响应时间"
2180200,"Latch hit ratio","Latch命中率"
2180204,"Estd Interconnect traffic per sec","数据库集群心跳间网络流量，以kB/sec为单位 "
2180205,"Avg global enqueue get time ","Avg global enqueue get time (ms)"
2180206,"Avg global cache cr block receive time ","Avg global cache cr block receive time "
2180207,"Avg global cache cr block flush time ","Avg global cache cr block flush time "
2180208,"Avg global cache current block flush time ","Avg global cache current block flush time "
2180209,"Avg message sent queue time","Avg message sent queue time"
